Exercise,Category,Tier,Primary Muscles,Secondary / Synergists,Equipment,Movement Pattern,Modality,Fatigue Band,Base LMF,Base SF,Base JS,Base GF,Base SD,Base RC,Base SFR,Weekly Frequency,Typical Recovery,Progressions,Regressions / Substitutions,Avoid / Modify When,Source,Coach Notes
Barbell Bench Press,Push,Anchor,Pectoralis major,Triceps; anterior deltoid; lats,Barbell; bench; rack,Horizontal push,Strength,High,8,6,5,1,3,7,4,1–2 hard exposures/week,48–72 h,Paused bench; tempo bench; overload singles,DB bench; push-up,High shoulder/elbow irritation; hard pressing <48 h,Hybrid Training System; athlete non-negotiable,Primary upper-body strength KPI.
Barbell Overhead Press,Push,Anchor,Anterior/medial deltoids; triceps,Upper chest; core; upper back,Barbell; rack,Vertical push,Strength,High,7,6,6,1,4,7,4,1–2 exposures/week,48–72 h,Push press; pin press; tempo OHP,DB press; landmine press,High shoulder stress; heavy snatch day,Hybrid Training System; athlete non-negotiable,
Incline Dumbbell Press,Push,Hypertrophy,Upper chest,Triceps; anterior delts,Dumbbells; incline bench,Incline horizontal push,Hypertrophy,Moderate,7,3,3,1,2,4,5,1–2/week,36–48 h,Higher load; low incline; pauses,Machine incline press; feet-elevated push-up,Severe anterior shoulder irritation,Swole booklet; standard S&C practice,
Close-Grip Bench Press,Push,Primary accessory,Triceps,Chest; anterior delts,Barbell; bench,Horizontal push,Strength/Hypertrophy,Moderate-High,7,5,5,1,3,6,4,1/week,48–72 h,Paused; bands/chains; heavier triples,Neutral-grip DB press,Elbow irritation; heavy bench overlap,Hybrid Training System,
Weighted Ring Dip,Push,Primary accessory,Chest; triceps,Anterior delts; serratus; core,Rings; dip belt,Vertical/horizontal push,Strength/Skill,Moderate-High,7,5,7,2,5,7,3,1/week,48–72 h,Tempo; pause; added load,Ring support; assisted dip,Shoulder instability; deep-range pain,Athlete booklet; gymnastics practice,
Half-Kneeling Landmine Press,Push,Hypertrophy,Anterior deltoid; upper chest,Serratus; triceps; obliques,Landmine; barbell,Angled vertical push,Hypertrophy/Athletic,Moderate,5,2,2,1,2,3,5,1–2/week,24–48 h,Standing press; heavier load,Tall-kneeling press,Acute shoulder pain,Hybrid Training System,
Z Press,Push,Primary accessory,Deltoids; triceps,Core; upper back; hip flexors,Barbell or dumbbells,Vertical push,Strength/Control,Moderate-High,6,5,4,1,5,6,3,1/week,48 h,Paused; heavier sets,Seated DB press,Low-back or hamstring mobility limits,Hybrid Training System,
One-Arm Seated Dumbbell Shoulder Press,Push,Hypertrophy,Deltoids,Triceps; obliques; scapular stabilizers,Dumbbell; bench,Unilateral vertical push,Hypertrophy/Stability,Moderate,6,3,3,1,3,4,5,1–2/week,36–48 h,Standing; bottoms-up KB press,Two-arm machine press,Shoulder pain or trunk compensation,Crossfit Session by Category.xlsx,
Ring Push-Up,Push,Hypertrophy,Chest,Triceps; anterior delts; serratus; core,Rings,Horizontal push,Hypertrophy/Stability,Moderate,6,2,3,2,3,3,5,1–3/week,24–48 h,Feet elevated; weighted; deficit,Floor push-up,Shoulder instability under deep ROM,Hybrid Training System,
JM Press,Push,Primary accessory,Triceps,Chest; anterior delts,Barbell; bench,Elbow-dominant press,Strength/Hypertrophy,Moderate,6,3,5,1,3,4,4,1/week,48 h,Heavier low reps; paused,Rolling DB extension,Elbow irritation,EliteFTS practitioner movement; Hybrid Training System,
